datetime,Kp,status
20-02-2023 18:00,2.333,def
20-02-2023 21:00,1.667,def
21-02-2023 00:00,3,def
21-02-2023 03:00,3.333,def
21-02-2023 06:00,3.333,def
21-02-2023 09:00,4,def
21-02-2023 12:00,3.667,def
21-02-2023 15:00,1.667,def
21-02-2023 18:00,1,def
21-02-2023 21:00,1.333,def
22-02-2023 00:00,1.333,def
22-02-2023 03:00,0.333,def
22-02-2023 06:00,1.333,def
22-02-2023 09:00,1.667,def
22-02-2023 12:00,2,def
22-02-2023 15:00,2,def
22-02-2023 18:00,2,def
22-02-2023 21:00,2.333,def
23-02-2023 00:00,4.333,def
23-02-2023 03:00,3.667,def
23-02-2023 06:00,3,def
23-02-2023 09:00,2.667,def
23-02-2023 12:00,2.667,def
23-02-2023 15:00,4,def
23-02-2023 18:00,3.333,def
23-02-2023 21:00,3.667,def
24-02-2023 00:00,2.333,def
24-02-2023 03:00,1,def
24-02-2023 06:00,2,def
24-02-2023 09:00,1.333,def
24-02-2023 12:00,1.667,def
24-02-2023 15:00,0.667,def
24-02-2023 18:00,0,def
24-02-2023 21:00,0.333,def
25-02-2023 00:00,0.667,def
25-02-2023 03:00,0.333,def
25-02-2023 06:00,1.667,def
25-02-2023 09:00,2,def
25-02-2023 12:00,2,def
25-02-2023 15:00,3.333,def
25-02-2023 18:00,3,def
25-02-2023 21:00,3.333,def
26-02-2023 00:00,3.333,def
26-02-2023 03:00,2.333,def
26-02-2023 06:00,3,def
26-02-2023 09:00,3.333,def
26-02-2023 12:00,3,def
26-02-2023 15:00,1.667,def
26-02-2023 18:00,5,def
26-02-2023 21:00,5.667,def
27-02-2023 00:00,5,def
27-02-2023 03:00,6,def
27-02-2023 06:00,6.667,def
27-02-2023 09:00,6.667,def
27-02-2023 12:00,6.333,def
27-02-2023 15:00,6.667,def
27-02-2023 18:00,6.333,def
27-02-2023 21:00,6,def
28-02-2023 00:00,5.667,def
28-02-2023 03:00,4.667,def
28-02-2023 06:00,3,def
28-02-2023 09:00,3,def
28-02-2023 12:00,1.667,def
28-02-2023 15:00,1.333,def
28-02-2023 18:00,4,def
28-02-2023 21:00,4.333,def
01-03-2023 00:00,3,def
01-03-2023 03:00,1,def
01-03-2023 06:00,1.333,def
01-03-2023 09:00,2.667,def
01-03-2023 12:00,0.667,def
01-03-2023 15:00,1.333,def
01-03-2023 18:00,2,def
01-03-2023 21:00,2,def
02-03-2023 00:00,0.667,def
02-03-2023 03:00,1.333,def
02-03-2023 06:00,2,def
02-03-2023 09:00,2,def
02-03-2023 12:00,1.333,def
02-03-2023 15:00,1.667,def
02-03-2023 18:00,2.667,def
02-03-2023 21:00,3.667,def
03-03-2023 00:00,3.667,def
03-03-2023 03:00,3.667,def
03-03-2023 06:00,3.333,def
03-03-2023 09:00,3.333,def
03-03-2023 12:00,3.333,def
03-03-2023 15:00,2,def
03-03-2023 18:00,4,def
03-03-2023 21:00,4,def
04-03-2023 00:00,3.333,def
04-03-2023 03:00,3,def
04-03-2023 06:00,3,def
04-03-2023 09:00,3.333,def
04-03-2023 12:00,2,def
04-03-2023 15:00,2.667,def
04-03-2023 18:00,3.333,def
04-03-2023 21:00,4,def
05-03-2023 00:00,3.333,def
05-03-2023 03:00,3.333,def
05-03-2023 06:00,3.667,def
05-03-2023 09:00,2.667,def
05-03-2023 12:00,4,def
05-03-2023 15:00,3.333,def
05-03-2023 18:00,4.333,def
05-03-2023 21:00,3.667,def
06-03-2023 00:00,3.667,def
06-03-2023 03:00,3,def
06-03-2023 06:00,2.667,def
06-03-2023 09:00,2,def
06-03-2023 12:00,2.667,def
06-03-2023 15:00,3,def
06-03-2023 18:00,2.667,def
06-03-2023 21:00,3.667,def
07-03-2023 00:00,2.333,def
07-03-2023 03:00,3,def
07-03-2023 06:00,3,def
07-03-2023 09:00,2.667,def
07-03-2023 12:00,2,def
07-03-2023 15:00,1,def
07-03-2023 18:00,1,def
07-03-2023 21:00,0.667,def
08-03-2023 00:00,0.333,def
08-03-2023 03:00,1.667,def
08-03-2023 06:00,2,def
08-03-2023 09:00,1.667,def
08-03-2023 12:00,1.333,def
08-03-2023 15:00,1.333,def
08-03-2023 18:00,3,def
08-03-2023 21:00,2.333,def
09-03-2023 00:00,2,def
09-03-2023 03:00,3,def
09-03-2023 06:00,4,def
09-03-2023 09:00,3.333,def
09-03-2023 12:00,3,def
09-03-2023 15:00,3,def
09-03-2023 18:00,2.333,def
09-03-2023 21:00,2,def
10-03-2023 00:00,3.333,def
10-03-2023 03:00,1.667,def
10-03-2023 06:00,1.667,def
10-03-2023 09:00,0.333,def
10-03-2023 12:00,1,def
10-03-2023 15:00,3,def
10-03-2023 18:00,2.333,def
10-03-2023 21:00,2.667,def
11-03-2023 00:00,2.667,def
11-03-2023 03:00,1.667,def
11-03-2023 06:00,1.333,def
11-03-2023 09:00,0.333,def
11-03-2023 12:00,1,def
11-03-2023 15:00,0.667,def
11-03-2023 18:00,1.333,def
11-03-2023 21:00,2.667,def
12-03-2023 00:00,3,def
12-03-2023 03:00,2,def
12-03-2023 06:00,3,def
12-03-2023 09:00,2.333,def
12-03-2023 12:00,0.667,def
12-03-2023 15:00,0.333,def
12-03-2023 18:00,0.667,def
12-03-2023 21:00,0.667,def
13-03-2023 00:00,0.333,def
13-03-2023 03:00,0,def
13-03-2023 06:00,0.333,def
13-03-2023 09:00,0.333,def
13-03-2023 12:00,0.667,def
13-03-2023 15:00,1.333,def
13-03-2023 18:00,0.667,def
13-03-2023 21:00,0.333,def
14-03-2023 00:00,2.667,def
14-03-2023 03:00,3.667,def
14-03-2023 06:00,3.333,def
14-03-2023 09:00,3.333,def
14-03-2023 12:00,3.333,def
14-03-2023 15:00,3,def
14-03-2023 18:00,2.667,def
14-03-2023 21:00,4.333,def
15-03-2023 00:00,3.667,def
15-03-2023 03:00,5.667,def
15-03-2023 06:00,4,def
15-03-2023 09:00,4,def
15-03-2023 12:00,3,def
